feature,importance
ITA-TXT-10.txt,0.2549
GER-TXT-1.txt,0.2330
ITA-TXT-30.txt,0.2242
ITA-TXT-9.txt,0.2000
FRA-TXT-30.txt,0.1945
ENG-TXT-18.txt,0.1945
FRA-TXT-16.txt,0.1934
PORT-TXT-27.txt,0.1912
GER-TXT-7.txt,0.1890
ENG-TXT-30.txt,0.1890
PORT-TXT-9.txt,0.1868
ITA-TXT-15.txt,0.1868
ENG-TXT-17.txt,0.1824
FRA-TXT-5.txt,0.1824
ENG-TXT-25.txt,0.1813
ITA-TXT-23.txt,0.1802
FRA-TXT-7.txt,0.1780
GER-TXT-29.txt,0.1780
ITA-TXT-12.txt,0.1758
FRA-TXT-4.txt,0.1758
GER-TXT-23.txt,0.1604
GER-TXT-13.txt,0.1604
PORT-TXT-5.txt,0.1571
FRA-TXT-27.txt,0.1571
ENG-TXT-10.txt,0.1560
ITA-TXT-16.txt,0.1560
GER-TXT-10.txt,0.1549
ENG-TXT-8.txt,0.1538
PORT-TXT-4.txt,0.1527
ENG-TXT-24.txt,0.1527
FRA-TXT-8.txt,0.1516
GER-TXT-5.txt,0.1516
ENG-TXT-21.txt,0.1495
ENG-TXT-16.txt,0.1495
ITA-TXT-22.txt,0.1495
PORT-TXT-25.txt,0.1495
ENG-TXT-4.txt,0.1484
ITA-TXT-6.txt,0.1473
FRA-TXT-6.txt,0.1473
ENG-TXT-14.txt,0.1440
FRA-TXT-26.txt,0.1418
ENG-TXT-11.txt,0.1407
PORT-TXT-16.txt,0.1396
ENG-TXT-20.txt,0.1374
ITA-TXT-4.txt,0.1264
GER-TXT-4.txt,0.1264
GER-TXT-19.txt,0.1231
ITA-TXT-13.txt,0.1220
PORT-TXT-2.txt,0.1209
ITA-TXT-28.txt,0.1209
PORT-TXT-26.txt,0.1176
FRA-TXT-18.txt,0.1176
ITA-TXT-1.txt,0.1165
ENG-TXT-15.txt,0.1165
PORT-TXT-12.txt,0.1154
GER-TXT-2.txt,0.1143
PORT-TXT-17.txt,0.1143
FRA-TXT-2.txt,0.1143
ENG-TXT-27.txt,0.1132
FRA-TXT-29.txt,0.1121
FRA-TXT-1.txt,0.1121
ENG-TXT-22.txt,0.1110
PORT-TXT-10.txt,0.1110
FRA-TXT-15.txt,0.1099
ENG-TXT-9.txt,0.1022
PORT-TXT-29.txt,0.0835
PORT-TXT-23.txt,0.0835
ENG-TXT-19.txt,0.0824
GER-TXT-18.txt,0.0813
PORT-TXT-3.txt,0.0802
FRA-TXT-25.txt,0.0791
ENG-TXT-28.txt,0.0791
PORT-TXT-21.txt,0.0791
FRA-TXT-23.txt,0.0780
PORT-TXT-30.txt,0.0780
GER-TXT-20.txt,0.0769
PORT-TXT-14.txt,0.0769
ITA-TXT-17.txt,0.0769
ITA-TXT-5.txt,0.0758
ENG-TXT-6.txt,0.0758
ENG-TXT-1.txt,0.0747
ITA-TXT-7.txt,0.0736
GER-TXT-16.txt,0.0703
GER-TXT-12.txt,0.0648
ITA-TXT-26.txt,0.0637
FRA-TXT-12.txt,0.0451
FRA-TXT-17.txt,0.0374
PORT-TXT-8.txt,0.0374
FRA-TXT-28.txt,0.0286
PORT-TXT-24.txt,0.0044
GER-TXT-24.txt,0.0022
GER-TXT-28.txt,0.0022
