pair,stability,frequency
GER-TXT-13.txt-GER-TXT-19.txt,1.0000,0.5000
ITA-TXT-1.txt-ITA-TXT-23.txt,1.0000,0.5000
ITA-TXT-15.txt-ITA-TXT-9.txt,1.0000,0.5000
ITA-TXT-16.txt-ITA-TXT-22.txt,1.0000,0.5000
ITA-TXT-10.txt-ITA-TXT-30.txt,1.0000,0.5000
FRA-TXT-4.txt-ITA-TXT-10.txt,1.0000,0.5000
ENG-TXT-17.txt-ITA-TXT-10.txt,1.0000,0.5000
FRA-TXT-5.txt-ITA-TXT-10.txt,1.0000,0.5000
GER-TXT-29.txt-ITA-TXT-23.txt,1.0000,0.5000
ENG-TXT-4.txt-ENG-TXT-6.txt,1.0000,0.5000
FRA-TXT-7.txt-ITA-TXT-12.txt,1.0000,0.5000
ITA-TXT-30.txt-PORT-TXT-27.txt,1.0000,0.5000
ITA-TXT-28.txt-ITA-TXT-30.txt,1.0000,0.5000
GER-TXT-23.txt-GER-TXT-7.txt,1.0000,0.5000
GER-TXT-19.txt-GER-TXT-7.txt,1.0000,0.5000
FRA-TXT-16.txt-GER-TXT-1.txt,1.0000,0.5000
FRA-TXT-15.txt-FRA-TXT-16.txt,1.0000,0.5000
FRA-TXT-27.txt-FRA-TXT-4.txt,1.0000,0.5000
PORT-TXT-4.txt-PORT-TXT-5.txt,1.0000,0.5000
GER-TXT-1.txt-ITA-TXT-9.txt,1.0000,0.5000
GER-TXT-13.txt-GER-TXT-7.txt,0.8000,0.6000
ENG-TXT-21.txt-PORT-TXT-9.txt,0.8000,0.4000
ENG-TXT-21.txt-ENG-TXT-22.txt,0.8000,0.4000
ITA-TXT-4.txt-ITA-TXT-9.txt,0.8000,0.4000
ITA-TXT-10.txt-PORT-TXT-9.txt,0.8000,0.4000
FRA-TXT-7.txt-PORT-TXT-9.txt,0.8000,0.4000
ENG-TXT-17.txt-PORT-TXT-9.txt,0.8000,0.4000
ITA-TXT-12.txt-PORT-TXT-9.txt,0.8000,0.4000
FRA-TXT-7.txt-PORT-TXT-16.txt,0.8000,0.4000
ITA-TXT-12.txt-PORT-TXT-16.txt,0.8000,0.4000
ENG-TXT-24.txt-GER-TXT-1.txt,0.8000,0.4000
ENG-TXT-16.txt-ITA-TXT-30.txt,0.8000,0.4000
ENG-TXT-16.txt-PORT-TXT-27.txt,0.8000,0.4000
ENG-TXT-16.txt-FRA-TXT-8.txt,0.8000,0.4000
ITA-TXT-10.txt-ITA-TXT-6.txt,0.8000,0.4000
FRA-TXT-5.txt-ITA-TXT-6.txt,0.8000,0.4000
ITA-TXT-10.txt-ITA-TXT-15.txt,0.8000,0.4000
ITA-TXT-15.txt-ITA-TXT-30.txt,0.8000,0.4000
ITA-TXT-15.txt-PORT-TXT-25.txt,0.8000,0.4000
ENG-TXT-25.txt-ITA-TXT-10.txt,0.8000,0.4000
ENG-TXT-25.txt-ITA-TXT-30.txt,0.8000,0.4000
ENG-TXT-25.txt-PORT-TXT-27.txt,0.8000,0.4000
ENG-TXT-25.txt-ENG-TXT-30.txt,0.8000,0.4000
ENG-TXT-18.txt-ENG-TXT-25.txt,0.8000,0.4000
ENG-TXT-20.txt-FRA-TXT-7.txt,0.8000,0.4000
ENG-TXT-17.txt-ENG-TXT-20.txt,0.8000,0.4000
ENG-TXT-20.txt-ITA-TXT-12.txt,0.8000,0.4000
ITA-TXT-10.txt-ITA-TXT-16.txt,0.8000,0.4000
GER-TXT-7.txt-ITA-TXT-10.txt,0.8000,0.4000
ITA-TXT-10.txt-ITA-TXT-9.txt,0.8000,0.4000
GER-TXT-1.txt-ITA-TXT-10.txt,0.8000,0.4000
ITA-TXT-10.txt-PORT-TXT-27.txt,0.8000,0.4000
ENG-TXT-18.txt-ITA-TXT-10.txt,0.8000,0.4000
FRA-TXT-30.txt-ITA-TXT-10.txt,0.8000,0.4000
FRA-TXT-7.txt-ITA-TXT-23.txt,0.8000,0.4000
ITA-TXT-12.txt-ITA-TXT-23.txt,0.8000,0.4000
ENG-TXT-4.txt-ITA-TXT-30.txt,0.8000,0.4000
FRA-TXT-7.txt-GER-TXT-29.txt,0.8000,0.4000
FRA-TXT-5.txt-FRA-TXT-7.txt,0.8000,0.6000
FRA-TXT-26.txt-GER-TXT-7.txt,0.8000,0.4000
FRA-TXT-6.txt-ITA-TXT-30.txt,0.8000,0.4000
GER-TXT-1.txt-ITA-TXT-30.txt,0.8000,0.4000
ENG-TXT-30.txt-ITA-TXT-30.txt,0.8000,0.4000
FRA-TXT-8.txt-ITA-TXT-30.txt,0.8000,0.4000
ENG-TXT-18.txt-ITA-TXT-30.txt,0.8000,0.4000
FRA-TXT-16.txt-PORT-TXT-5.txt,0.8000,0.4000
FRA-TXT-16.txt-ITA-TXT-9.txt,0.8000,0.4000
FRA-TXT-16.txt-GER-TXT-5.txt,0.8000,0.4000
FRA-TXT-16.txt-PORT-TXT-4.txt,0.8000,0.4000
GER-TXT-19.txt-GER-TXT-23.txt,0.8000,0.4000
ENG-TXT-10.txt-GER-TXT-23.txt,0.8000,0.4000
FRA-TXT-30.txt-GER-TXT-23.txt,0.8000,0.4000
ENG-TXT-17.txt-FRA-TXT-4.txt,0.8000,0.4000
FRA-TXT-4.txt-FRA-TXT-5.txt,0.8000,0.4000
PORT-TXT-2.txt-PORT-TXT-3.txt,0.8000,0.4000
ITA-TXT-9.txt-PORT-TXT-5.txt,0.8000,0.4000
GER-TXT-1.txt-PORT-TXT-5.txt,0.8000,0.4000
FRA-TXT-30.txt-ITA-TXT-9.txt,0.8000,0.4000
PORT-TXT-29.txt-PORT-TXT-30.txt,0.8000,0.6000
GER-TXT-29.txt-ITA-TXT-12.txt,0.8000,0.4000
PORT-TXT-26.txt-PORT-TXT-4.txt,0.8000,0.4000
ENG-TXT-30.txt-GER-TXT-1.txt,0.8000,0.4000
GER-TXT-1.txt-GER-TXT-5.txt,0.8000,0.4000
FRA-TXT-27.txt-GER-TXT-1.txt,0.8000,0.4000
ENG-TXT-18.txt-GER-TXT-1.txt,0.8000,0.4000
GER-TXT-1.txt-PORT-TXT-4.txt,0.8000,0.4000
FRA-TXT-30.txt-GER-TXT-1.txt,0.8000,0.4000
ENG-TXT-30.txt-PORT-TXT-27.txt,0.8000,0.4000
FRA-TXT-8.txt-PORT-TXT-27.txt,0.8000,0.4000
ENG-TXT-18.txt-PORT-TXT-27.txt,0.8000,0.4000
ENG-TXT-30.txt-ENG-TXT-8.txt,0.8000,0.4000
ENG-TXT-18.txt-ENG-TXT-30.txt,0.8000,0.4000
ENG-TXT-10.txt-FRA-TXT-30.txt,0.8000,0.4000
PORT-TXT-12.txt-PORT-TXT-23.txt,0.8000,0.4000
PORT-TXT-23.txt-PORT-TXT-9.txt,0.6000,0.7000
ENG-TXT-22.txt-FRA-TXT-29.txt,0.6000,0.3000
FRA-TXT-29.txt-ITA-TXT-6.txt,0.6000,0.3000
FRA-TXT-29.txt-ITA-TXT-10.txt,0.6000,0.3000
FRA-TXT-29.txt-FRA-TXT-8.txt,0.6000,0.3000
FRA-TXT-29.txt-PORT-TXT-10.txt,0.6000,0.3000
FRA-TXT-29.txt-FRA-TXT-5.txt,0.6000,0.3000
GER-TXT-13.txt-ITA-TXT-15.txt,0.6000,0.3000
GER-TXT-13.txt-ITA-TXT-10.txt,0.6000,0.3000
FRA-TXT-26.txt-GER-TXT-13.txt,0.6000,0.3000
GER-TXT-13.txt-ITA-TXT-30.txt,0.6000,0.3000
GER-TXT-13.txt-GER-TXT-23.txt,0.6000,0.3000
GER-TXT-13.txt-PORT-TXT-25.txt,0.6000,0.3000
GER-TXT-13.txt-ITA-TXT-9.txt,0.6000,0.3000
GER-TXT-1.txt-GER-TXT-13.txt,0.6000,0.3000
GER-TXT-13.txt-PORT-TXT-27.txt,0.6000,0.3000
